Country,Country Code,Year,NPLs,Inflation,Credit_to_Private_Sector,Debt,Trade,GDP,GDP_Growth,Unemployment,x,y,_algo
France,FRA,1993,,-0.1222019698,,,-0.6834953338,-0.0176142538,-0.5980477435,0.5857738358,11.8324279785,-1.1046603918,UMAP
French Polynesia,PYF,1993,,,,,-0.9941045936,-0.2343904481,-0.7504537273,,12.1658916473,-0.2661951482,UMAP
Gabon,GAB,1993,,,-0.8457387317,,0.1353726743,-0.2342525217,0.1010069536,1.7088473203,8.9092216492,3.1212477684,UMAP
"Gambia, The",GMB,1993,,,-0.9619652504,,-0.2328282050,-0.2348517649,-0.0507120543,,8.9893932343,2.1533396244,UMAP
Georgia,GEO,1993,,,,,0.8298569619,-0.2345299275,-5.2969704535,,14.3691835403,0.8860713840,UMAP
Germany,DEU,1993,,-0.0926127150,,,-0.7223796578,0.1088244541,-0.6977871769,-0.0479108160,12.2485389709,-0.4452016056,UMAP
Ghana,GHA,1993,,,-0.9773137344,,-0.3894656432,-0.2339895341,0.2476914513,,9.6818227768,3.7405815125,UMAP
Greece,GRC,1993,,0.0314400625,,,-0.7955031577,-0.2172329087,-0.7995383445,0.3870628462,12.4820232391,0.1690221429,UMAP
Greenland,GRL,1993,,,,,,-0.2348232922,-1.3561015762,,13.1819076538,2.0495376587,UMAP
Grenada,GRD,1993,,,0.0943760264,,,-0.2349253933,-0.8577960673,,12.4131193161,0.4079582095,UMAP
Guam,GUM,1993,,,,,,,,-0.4213414421,12.2182836533,3.0294907093,UMAP
Guatemala,GTM,1993,,,,-0.9666328761,-0.6430941901,-0.2330913825,0.0978534019,,8.8279371262,3.1190795898,UMAP
Guinea,GIN,1993,,,-1.0249882047,,-0.7676572959,-0.2341859560,0.2792129008,,10.1004371643,3.3263940811,UMAP
Guinea-Bissau,GNB,1993,,,-0.9836868471,,-0.6862365211,-0.2348747948,-0.1988019244,,8.7085380554,0.8861615658,UMAP
Guyana,GUY,1993,,,-0.5914993097,,3.3234183663,-0.2349015319,0.7875594599,,11.2814817429,2.0778613091,UMAP
Haiti,HTI,1993,,,-0.8325582736,,-0.5452383460,-0.2346660168,-1.4207803275,,13.2348413467,2.1931641102,UMAP
Heavily indebted poor countries (HIPC),HPC,1993,,,-0.8244389867,,-0.6262247385,-0.2114928912,-0.4753442598,,10.1486301422,0.0005411388,UMAP
High income,HIC,1993,,,2.0795831093,,-0.6924004570,3.4504989800,-0.3622135196,-0.0604555331,12.6708040237,3.2854044437,UMAP
Honduras,HND,1993,,,,,0.1552346203,-0.2341618840,0.5148921349,,10.7389831543,1.8415447474,UMAP
"Hong Kong SAR, China",HKG,1993,,,2.1473554650,,3.0991048970,-0.2150733954,0.4670621762,-1.0414657640,10.5357074738,3.2675764561,UMAP
Hungary,HUN,1993,,0.1319759072,-0.4391189302,0.7365856222,-0.4535228002,-0.2283193686,-0.6332980974,0.6935610743,11.6139516830,-0.3293770552,UMAP
IBRD only,IBD,1993,,,,,-0.7039448416,0.4150834022,0.0674053578,,12.0726881027,4.4820332527,UMAP
IDA & IBRD total,IBT,1993,,,,,-0.6990754782,0.4782703050,0.0251728708,,12.2661495209,4.2729845047,UMAP
IDA blend,IDB,1993,,,-0.7057003921,,,-0.2059965319,-0.5746609892,,10.6236801147,-0.1628100723,UMAP
IDA only,IDX,1993,,,-0.8726095964,,-0.6350586073,-0.2005094752,-0.1714898520,,8.8589496613,1.1020648479,UMAP
IDA total,IDA,1993,,,-0.7949546387,,,-0.1716271646,-0.3900238026,,9.8055639267,0.2170692086,UMAP
Iceland,ISL,1993,,-0.0980024899,0.0148890592,-0.2722497921,-0.2932682043,-0.2339482475,-0.3265072043,-0.4682810460,9.6997241974,0.7843922377,UMAP
India,IND,1993,,-0.0694878372,-0.5210265231,-0.0670889348,-1.1178267983,-0.1887889120,0.2315812696,,9.6100492477,4.2377023697,UMAP
Indonesia,IDN,1993,,-0.0277275370,,-0.4034915074,-0.5103896485,-0.2088467234,0.5150041499,-0.8985607478,10.8949165344,2.4049522877,UMAP
"Iran, Islamic Rep.",IRN,1993,,,-0.5926155264,,-0.5985881357,-0.2244352090,-0.7785956113,,11.9576368332,-0.0903931707,UMAP
Iraq,IRQ,1993,,,,,-1.4937747178,-0.2348059727,4.3781324567,,12.1188058853,1.4685887098,UMAP
Ireland,IRL,1993,,-0.1301301057,,,0.7897927727,-0.2263082378,-0.1025851921,1.3248118207,9.3917179108,1.7635611296,UMAP
Isle of Man,IMN,1993,,,,,,-0.2348500108,-0.1176220223,-0.5303456333,9.0756263733,1.3596031666,UMAP
Israel,ISR,1993,,-0.0125970035,0.2011368534,1.3506423192,-0.3236501075,-0.2217706913,0.1286410479,0.3592467847,9.0500669479,3.5016152859,UMAP
Italy,ITA,1993,,-0.0907131238,,,-0.7632467346,-0.0584563372,-0.6782229874,0.3931476097,12.0498723984,-1.0989027023,UMAP
Jamaica,JAM,1993,,,-0.5924717305,1.3584463523,0.1255168559,-0.2340769907,0.9892115880,1.4550257588,11.8045425415,1.5514180660,UMAP
Japan,JPN,1993,,-0.1329561725,3.5622661416,,-1.1951184187,0.5153068713,-0.6143198918,-0.9475865563,12.1378002167,3.1904637814,UMAP
Jordan,JOR,1993,,,0.3636375733,1.6748054457,1.0629466684,-0.2340494853,0.1887525885,2.0426400587,9.2166671753,3.3275380135,UMAP
Kazakhstan,KAZ,1993,,,,,0.1607840525,-0.2311053883,-2.0334834169,-1.1892385909,13.3059015274,1.5976394415,UMAP
Kenya,KEN,1993,,,-0.6492090868,,-0.0709223524,-0.2340254424,-0.4824149020,,10.3089294434,-0.3520640731,UMAP
Kiribati,KIR,1993,,,,,0.4269099205,-0.2349668783,-0.5566451306,,10.8322076797,0.2319039851,UMAP
"Korea, Rep.",KOR,1993,,-0.0885375825,0.0777170539,-1.0709366290,-0.5813161923,-0.1700406637,0.5768744820,-0.8994299997,11.0959148407,2.2508821487,UMAP
Kuwait,KWT,1993,,,-0.6812483729,,0.3068300756,-0.2310173888,4.9789724721,-1.2431322101,12.1081895828,1.8670191765,UMAP
Kyrgyz Republic,KGZ,1993,,,,,-0.0345638664,-0.2346415805,-3.0497554217,,14.3530855179,0.9957023263,UMAP
Lao PDR,LAO,1993,,,-0.9270426873,,-0.4689630996,-0.2347570550,0.4202093124,,10.7150373459,2.5581588745,UMAP
Late-demographic dividend,LTE,1993,,,,,-0.6072535493,0.1130849397,0.1653822598,-0.7301239648,11.9792804718,4.5898122787,UMAP
Latin America & Caribbean,LCN,1993,,,,,-0.8915655763,0.0193469982,0.1741526334,-0.2390342732,11.4695386887,4.1897130013,UMAP
Latin America & Caribbean (excluding high income),LAC,1993,,,,,-0.9951099924,-0.0135992756,0.1631213972,-0.2634708294,11.5427322388,4.1009378433,UMAP
Latin America & the Caribbean (IDA & IBRD countries),TLA,1993,,,,,-0.9099053792,0.0077289397,0.2271802756,-0.2534445357,11.4819278717,4.1926193237,UMAP
Latvia,LVA,1993,,1.2121853892,,,,,-1.3488029881,,13.2325973511,2.3482890129,UMAP
Least developed countries: UN classification,LDC,1993,,,-0.8750476045,,,-0.2068176770,-0.5843671802,,10.8095254898,-0.5778961778,UMAP
Lebanon,LBN,1993,,,-0.0613122880,,-0.0022017794,-0.2336632844,1.2081665739,,11.7291517258,1.1606453657,UMAP
Lesotho,LSO,1993,,,-0.6616323812,,,-0.2348384456,0.0300893942,,8.8221597672,2.5717792511,UMAP
Liberia,LBR,1993,,,-1.0467595099,,,-0.2349501019,-5.8936849829,,14.6039352417,1.0151178837,UMAP
Libya,LBY,1993,,,-0.3193492033,,-0.3280173584,-0.2299063096,-1.1507568818,,13.0349092484,2.0083005428,UMAP
Liechtenstein,LIE,1993,,,,,,-0.2346999459,0.1636046946,-1.1457759947,9.7257337570,3.8703317642,UMAP
Lithuania,LTU,1993,,4.9757369940,,,,,-3.1743731836,,14.6594800949,0.9155640006,UMAP
Low & middle income,LMY,1993,,,,,-0.7528316225,0.3602205706,0.2761736119,,12.0318450928,4.5452022552,UMAP
Low income,LIC,1993,,,-0.9315846682,,-0.8254124369,-0.2181997853,-0.5400215196,,10.8264999390,-0.6660906672,UMAP
Lower middle income,LMC,1993,,,-0.5724076819,,-0.7769063781,-0.1110170836,-0.1594505240,,8.8550691605,1.2504338026,UMAP
Luxembourg,LUX,1993,,-0.1036797927,,-1.2195127903,2.0648025535,-0.2323429903,0.1422616256,-0.9771411217,9.3289613724,3.2164106369,UMAP
"Macao SAR, China",MAC,1993,,,0.8221305951,,1.1433954509,-0.2340396943,0.3022405428,,10.4002733231,3.1171412468,UMAP
Madagascar,MDG,1993,,,-0.7655896054,,-0.8578201064,-0.2343046712,-0.1988143950,,8.8904943466,1.5188254118,UMAP
Malawi,MWI,1993,,,-0.9550409427,,,-0.2344782964,1.0338183823,,11.7811031342,1.3091926575,UMAP
Malaysia,MYS,1993,,,1.4639279414,0.0256557442,1.6031581657,-0.2239140646,1.0667943855,-0.6676874371,11.8568792343,2.7842946053,UMAP
Maldives,MDV,1993,,0.1028016116,,-0.2135227698,,-0.2349233087,0.3624432122,,10.6601266861,3.2990520000,UMAP
Mali,MLI,1993,,,-0.8066564357,,-0.5945596561,-0.2345105625,-0.0247234170,,8.5336561203,2.3679769039,UMAP
Malta,MLT,1993,,,,-0.6131520425,2.0156667985,-0.2345286025,0.1877393486,-0.5998857871,9.6692752838,2.8976464272,UMAP
Marshall Islands,MHL,1993,,,,,,-0.2349601795,0.4354214557,,10.8031635284,2.8803386688,UMAP
Mauritania,MRT,1993,,,,,-0.5978908207,-0.2346711269,0.4138903553,,10.5474462509,2.6554307938,UMAP
Mauritius,MUS,1993,,,-0.0974584552,-0.5844836199,0.8742750804,-0.2344296920,0.2853693800,,9.9588842392,2.9315891266,UMAP
Mexico,MEX,1993,,-0.0267344149,,-0.8340347407,-0.9897043049,-0.1473028142,-0.0742709752,-0.7972059736,8.9459276199,1.8294506073,UMAP
"Micronesia, Fed. Sts.",FSM,1993,,,,,,-0.2349438178,0.7819660539,,11.5244131088,1.9283866882,UMAP
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1993,,,-0.4624434626,,-0.3816748355,-0.1247210957,-0.1401653964,,8.5130500793,1.7941212654,UMAP
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1993,,,-0.5643095462,,-0.6062047062,-0.1784889953,-0.2898878315,0.3201473501,9.0120229721,0.4712294340,UMAP
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1993,,,-0.5643095462,,-0.6062047062,-0.1780415857,-0.2898878315,,8.8663597107,0.5965195894,UMAP
Middle income,MIC,1993,,,,,-0.7521321702,0.3442121094,0.2930554551,,11.9767951965,4.5823779106,UMAP
Moldova,MDA,1993,,19.9962714389,,,,-0.2345843958,-0.7345938525,,12.1186666489,0.0060124728,UMAP
Monaco,MCO,1993,,,,,,-0.2345508780,-0.6881455277,,11.5125427246,-0.1992876381,UMAP
Mongolia,MNG,1993,,,-0.9386034802,-0.3104660114,1.0483239208,-0.2348495554,-1.0542492105,,12.8711433411,0.6616798043,UMAP
Morocco,MAR,1993,,,,0.4603944441,-0.5272113119,-0.2297416946,-0.6600037832,1.3455000165,11.6675481796,-0.6142500639,UMAP
Mozambique,MOZ,1993,,,-0.8844544956,,-0.4175798516,-0.2344998330,1.2365416657,,12.0163383484,1.4008374214,UMAP
Myanmar,MMR,1993,,,-0.9382173241,,,-0.2344535522,0.4408054261,,10.6327552795,2.5788826942,UMAP
Namibia,NAM,1993,,,,,0.3862927979,-0.2344389716,-0.7962162944,,12.4119291306,0.0513673238,UMAP
Nauru,NRU,1993,,,,,,-0.2349694270,-3.1565963610,,14.4455442429,1.0266604424,UMAP
Nepal,NPL,1993,,-0.0547750216,-0.7434531108,0.2141087350,-0.5759858823,-0.2343713587,0.0853058173,,8.9376068115,3.0627722740,UMAP
Netherlands,NLD,1993,,-0.1162129711,,0.0434987304,0.4440864976,-0.1764232364,-0.3355827448,-0.2892151498,9.6501092911,0.4198175669,UMAP
New Caledonia,NCL,1993,,,,,-0.6510131214,-0.2345099071,-0.4537423376,,10.3006792068,0.2986841500,UMAP
New Zealand,NZL,1993,,-0.1323923573,,,-0.3720615438,-0.2272412437,0.4979757701,0.3213474009,10.6075181961,2.3272778988,UMAP
Nicaragua,NIC,1993,,,,,-0.1608915499,-0.2346861590,-0.6035579961,,11.0291604996,-0.4192722142,UMAP
Niger,NER,1993,,,-0.9130832128,,-0.9909672328,-0.2344718004,-0.4875360634,,10.7097835541,-0.7036188245,UMAP
Nigeria,NGA,1993,,,-0.9251951304,,,-0.2255965467,-0.8701847447,,12.8443374634,0.5769185424,UMAP
North America,NAC,1993,,-0.1184079181,1.7280652508,-0.0957108947,-1.0459101659,0.9952982213,-0.0941620265,-0.1044308082,12.3870344162,3.9095478058,UMAP
North Macedonia,MKD,1993,,,,,0.3931178529,-0.2345330240,-1.7524802411,3.4334431355,13.0823926926,1.5067163706,UMAP
Norway,NOR,1993,,-0.1199072702,,-0.5435237475,-0.1812619187,-0.2150361865,-0.0778131714,-0.3488458317,9.0439128876,2.2821948528,UMAP
OECD members,OED,1993,,-0.0914330064,2.1124130372,,-0.8090721403,3.3695555175,-0.3110026672,-0.0495290215,12.7924737930,3.3527820110,UMAP
Oman,OMN,1993,,,-0.6158467897,,-0.2239426870,-0.2326233113,0.4413818811,,10.8423557281,2.8397026062,UMAP
Other small states,OSS,1993,,,,,0.5555278831,-0.2292541427,-0.4813078827,,10.6726989746,0.6018524170,UMAP
Pacific island small states,PSS,1993,,,,,0.7649655002,-0.2344943729,-0.2354826609,,9.8602447510,1.2275373936,UMAP
Pakistan,PAK,1993,,,-0.5075019024,0.5733067338,-0.7469762843,-0.2264086978,-0.2543704151,-0.6381328717,9.0277729034,0.6874697208,UMAP
Palau,PLW,1993,,,,,,-0.2349606765,-2.5368094641,,14.0033235550,1.0307161808,UMAP
Panama,PAN,1993,,,,,1.2438483840,-0.2335242328,0.3460407385,0.9230435819,10.6015329361,3.0373997688,UMAP
Papua New Guinea,PNG,1993,,,,-0.2424255775,0.2582744508,-0.2341539756,2.4155844534,,11.9092245102,1.2094638348,UMAP
Paraguay,PRY,1993,,,-0.5384831171,,0.7307853911,-0.2337777568,0.2617127790,-0.5025295717,11.0801124573,3.3849585056,UMAP
Peru,PER,1993,,,-0.8264907998,0.3776741055,-0.9384783388,-0.2292163729,0.3115929943,0.3336907782,9.7422761917,3.4015057087,UMAP
Philippines,PHL,1993,,,-0.5374334741,0.0997510036,-0.5115376099,-0.2247175148,-0.1855061667,0.2326837047,8.8297548294,0.4782977402,UMAP
Poland,POL,1993,,0.3129976771,-0.6345122760,,,-0.2190937664,0.0671960932,1.0536052208,8.9901857376,2.7857666016,UMAP
Portugal,PRT,1993,,-0.0637838837,,-1.0934546805,-0.4385355913,-0.2192646628,-0.8715092647,-0.4606316290,12.7402019501,0.8320102692,UMAP
Post-demographic dividend,PST,1993,,-0.1055242034,2.1461210410,,-0.7550369438,3.2414456382,-0.3500046636,-0.0562650193,12.6915302277,3.3460936546,UMAP
Pre-demographic dividend,PRE,1993,,,-0.8664739870,,,-0.2048893096,-0.6181596423,,11.1593656540,-0.7222038507,UMAP
Puerto Rico (US),PRI,1993,,,,,0.4233696570,-0.2288706825,0.2143305289,1.5575974857,9.8853549957,3.2982425690,UMAP
Qatar,QAT,1993,,,-0.0831236172,,,-0.2337931265,-0.7549111113,,12.3431625366,-0.0336423256,UMAP
Romania,ROU,1993,,,,,-0.5009388797,-0.2306172264,-0.2915370358,,9.0594320297,0.3131472468,UMAP
Russian Federation,RUS,1993,,10.7658873016,,,-0.1527756271,-0.1630259082,-1.9471949920,-0.3594507052,12.4892864227,2.7370402813,UMAP
Rwanda,RWA,1993,,,-0.9414963905,,-0.9992298249,-0.2346505922,-1.8562973272,,13.6212177277,1.9336675406,UMAP
Samoa,WSM,1993,,,,,,-0.2349546128,0.1259190061,,9.3589906693,3.2221493721,UMAP
San Marino,SMR,1993,,,,,,,,-0.4955755563,12.0229740143,3.0523843765,UMAP
Sao Tome and Principe,STP,1993,,,,,,-0.2349558333,-0.3611633448,,9.5051708221,0.2487159520,UMAP
Saudi Arabia,SAU,1993,,,-0.6017994616,,-0.1703162464,-0.2129874336,-0.4780898156,,10.0663213730,-0.4067735672,UMAP
Senegal,SEN,1993,,,-0.6023264804,,-0.7415664802,-0.2337581680,-0.3189146223,,8.9432134628,0.5820105672,UMAP
Seychelles,SYC,1993,,,-0.9238065330,,-0.3654061889,-0.2348932419,0.6460235689,,10.9097929001,2.1854653358,UMAP
Sierra Leone,SLE,1993,,,-1.0111015230,,-0.4644174201,-0.2348494783,-0.3165868598,,9.1922130585,0.3314610720,UMAP
Singapore,SGP,1993,,,0.8516308834,0.4310641604,4.6623112193,-0.2249544457,1.3208421704,-0.8484918371,11.8333950043,2.6308076382,UMAP
Slovak Republic,SVK,1993,,0.1422479178,,,0.6761933596,-0.2322086333,-0.2310584236,0.7387621743,9.7927808762,1.0965843201,UMAP
Slovenia,SVN,1993,,0.2480538029,,-0.8509779133,0.3848520605,-0.2325871164,-0.0780994751,0.0972542551,9.3221645355,2.0461311340,UMAP
Small states,SST,1993,,,,,0.6450566860,-0.2264952027,-0.4612835272,,10.6120080948,0.7974969149,UMAP
Solomon Islands,SLB,1993,,,-0.6973372031,,1.6725821823,-0.2349268925,0.1096842708,,9.1626977921,2.9913344383,UMAP
"Somalia, Fed. Rep.",SOM,1993,,,,,,-0.2347682367,0.1081575696,,9.0253705978,3.4905521870,UMAP
South Africa,ZAF,1993,,-0.0271592956,1.2085277316,-0.3456284989,-0.8020927940,-0.2106347191,-0.3394784903,,9.3381719589,0.4412708580,UMAP
South Asia,SAS,1993,,-0.0547750216,-0.5552618101,-0.0265290302,-1.0687947399,-0.1808984071,0.2432433928,,9.5729408264,4.3039488792,UMAP
South Asia (IDA & IBRD),TSA,1993,,-0.0547750216,-0.5552618101,-0.0265290302,-1.0687947399,-0.1808984071,0.2432433928,,9.6058712006,4.2345161438,UMAP
Spain,ESP,1993,,-0.0914330064,,-0.1856749802,-0.7765721683,-0.1482057777,-0.7072346767,2.4696166033,12.1272134781,-1.0564296246,UMAP
Sri Lanka,LKA,1993,,,-0.8573152670,0.9952218495,0.0134691151,-0.2332668982,0.5805420790,1.0203997973,10.8374719620,1.7336804867,UMAP
St. Kitts and Nevis,KNA,1993,,,0.1740838559,,,-0.2349330098,0.5646121995,,11.0177116394,2.0760121346,UMAP
St. Lucia,LCA,1993,,,-0.0457438989,,,-0.2348633783,-0.4450714212,1.5384739434,10.5346117020,0.5805311799,UMAP
St. Vincent and the Grenadines,VCT,1993,,,-0.2669812935,-0.3277221666,,-0.2349292803,0.1503932942,,9.9025678635,3.6498041153,UMAP
Sub-Saharan Africa,SSF,1993,,,0.0270058040,,,-0.1739382440,-0.6889220540,,12.0117082596,-1.0883098841,UMAP
Sub-Saharan Africa (IDA & IBRD countries),TSS,1993,,,0.0270058040,,,-0.1739382440,-0.6889220540,,11.9795732498,-1.1508402824,UMAP
Sub-Saharan Africa (excluding high income),SSA,1993,,,0.0563455296,,,-0.1755213659,-0.7303826651,,12.2842006683,-0.9652140737,UMAP
Sudan,SDN,1993,,,-1.0170252911,,-1.2788845586,-0.2335079568,0.2020271439,,9.5143985748,3.8836567402,UMAP
Suriname,SUR,1993,,,-0.5769717001,,,-0.2349057219,-1.6275801308,1.3368074973,13.5495014191,2.0195651054,UMAP
Sweden,SWE,1993,,-0.0894467350,-0.1770963948,,-0.3586973191,-0.1998107336,-0.8751363703,0.2149509655,12.3758544922,0.3675315380,UMAP
Switzerland,CHE,1993,,-0.1073686140,2.3362144382,-0.8528954889,0.0237718166,-0.1899561286,-0.5602152554,-0.7648698021,11.4726514816,0.0690178052,UMAP
Syrian Arab Republic,SYR,1993,,,-0.8354206116,,-0.1513834273,-0.2327116972,0.4589063201,-0.0957196718,11.1882848740,2.9307827950,UMAP
Tajikistan,TJK,1993,,,,,-0.1233035515,-0.2347043220,-3.2024839894,-1.1735920562,14.5088844299,0.8230154514,UMAP
Tanzania,TZA,1993,,,-0.9149270460,,-0.6144149284,-0.2339541528,-0.3439851711,,9.3256120682,0.0628960282,UMAP
Thailand,THA,1993,,,,-1.0948579693,0.0252471971,-0.2136619360,0.8000304918,-1.1231754447,11.3709840775,1.7670807838,UMAP
Timor-Leste,TLS,1993,,,,,,-0.2349407560,1.1170974856,,11.9493274689,1.6494030952,UMAP
Togo,TGO,1993,,,-0.5904740810,,-0.6640773152,-0.2346885585,-2.9907370071,,14.5068721771,1.1426759958,UMAP
Tonga,TON,1993,,,-0.3323718579,,-0.1774675532,-0.2349537252,0.0671551476,-1.1562070178,9.4955692291,3.4554703236,UMAP
Trinidad and Tobago,TTO,1993,,,-0.3248772454,,,-0.2342044239,-0.6483987028,2.0617636010,11.2561426163,-0.0937851369,UMAP
Tunisia,TUN,1993,,,0.2019216055,0.1109932569,0.2350897327,-0.2325608161,-0.1842172014,,9.4466838837,1.0772806406,UMAP
Turkiye,TUR,1993,,0.6766618359,,-0.4931072768,-0.8548451046,-0.2051408899,0.7025081249,0.0529224071,11.2305822372,1.6112508774,UMAP
Turkmenistan,TKM,1993,,,,,1.3695518823,-0.2344508722,-0.2962186109,,10.0199298859,0.8135359883,UMAP
Tuvalu,TUV,1993,,,,,,-0.2349749053,0.1276778256,,9.4269800186,3.3565192223,UMAP
Uganda,UGA,1993,,,,,-0.9488427580,-0.2344440567,0.8121063660,,11.7252235413,1.8938125372,UMAP
Ukraine,UKR,1993,,,,,-0.4799815711,-0.2241201856,-2.8452893873,,14.4540309906,0.8271421194,UMAP
United Arab Emirates,ARE,1993,,,,,,-0.2257777749,-0.3349919623,,9.2280979156,0.5511275530,UMAP
United Kingdom,GBR,1993,,-0.1165326510,1.3057715014,-0.4550065884,-0.5259847688,-0.0594525166,-0.1355085074,0.4164435612,9.1211395264,1.4238425493,UMAP
United States,USA,1993,,-0.1116253276,1.8130935327,-0.1499657695,-1.1100925431,0.8992378651,-0.0929755674,-0.1826448641,12.4072513580,3.8508791924,UMAP
Upper middle income,UMC,1993,,,,,-0.7469344433,0.2202717407,0.4214324503,-0.7730299040,12.1578874588,4.6466927528,UMAP
Uruguay,URY,1993,,,-0.4962487319,-0.7718837490,-0.7433234209,-0.2324956923,-0.1082780709,0.0694381936,8.6263036728,1.7287988663,UMAP
Uzbekistan,UZB,1993,,,,,,-0.2328102660,-0.9131911776,-1.3126723639,12.6769189835,0.7918114662,UMAP
Vanuatu,VUT,1993,,,-0.2439596960,,0.3641549314,-0.2349434718,-0.4203522155,,10.0037975311,0.4556385577,UMAP
"Venezuela, RB",VEN,1993,,,-0.7148166136,,-0.4736583353,-0.2250481050,-0.4950480802,-0.2347999794,10.3796901703,-0.1246562004,UMAP
Viet Nam,VNM,1993,,,-0.6964556078,,-0.2016938457,-0.2327968653,0.7709377593,,11.5633573532,1.9051206112,UMAP
World,WLD,1993,,,1.8412934054,,-0.7111257478,4.0582946340,-0.2397929691,,12.9360189438,3.2305436134,UMAP
"Yemen, Rep.",YEM,1993,,,-0.9771066234,,-0.3605163312,-0.2313819663,0.1100036103,,9.2143058777,3.8082716465,UMAP
Zambia,ZMB,1993,,,,2.5280990529,,-0.2344352811,0.5638531013,2.0426400587,10.9308128357,1.7588061094,UMAP
Zimbabwe,ZWE,1993,,,-0.5697268258,,-0.2616115143,-0.2338911557,-0.3690443488,,9.6675233841,-0.1386565566,UMAP
Africa Eastern and Southern,AFE,1994,,,0.6799594997,,-0.6123202559,-0.1946967492,-0.2260735040,,7.3585839272,6.7303552628,UMAP
Africa Western and Central,AFW,1994,,,-0.8914344705,,,-0.2126882959,-0.5857405430,,6.6781787872,9.8524208069,UMAP
Albania,ALB,1994,,,,,-0.4596411060,-0.2346655708,0.8083029053,1.8166345588,3.8980987072,8.3965692520,UMAP
Algeria,DZA,1994,,,-0.9376537016,,-0.5485405613,-0.2279411719,-0.6858849454,3.4403971509,6.5543012619,9.9669847488,UMAP
Andorra,AND,1994,,,,,,-0.2348083542,-0.1528241146,,6.8631377220,7.1796030998,UMAP
Angola,AGO,1994,,,,,,-0.2342426530,-0.3222997834,,7.4048762321,8.4105119705,UMAP
Antigua and Barbuda,ATG,1994,,,-0.2198261196,,,-0.2348732565,0.5442289098,,4.0852251053,7.7172961235,UMAP
Arab World,ARB,1994,,,-0.5422283163,,-0.3705029060,-0.1523103881,0.0055838122,,6.3020396233,6.4212236404,UMAP
Argentina,ARG,1994,,,-0.6063431481,,-1.1476792388,-0.1924032271,0.4078120853,0.6622680051,3.7115216255,6.8299174309,UMAP
Armenia,ARM,1994,,,,,0.7076778145,-0.2347591370,0.3369904694,-0.2347999794,4.3306322098,7.1012039185,UMAP
Aruba,ABW,1994,,,-0.0738931535,,,-0.2347706053,0.7922347804,-0.2608775371,5.0403189659,8.5907859802,UMAP
Australia,AUS,1994,,-0.1238852052,0.5104418226,-0.8117607854,-0.7871254995,-0.1815934066,0.1065001814,0.3074393701,6.4089527130,6.6127939224,UMAP
Austria,AUT,1994,,-0.1116034501,,,-0.2010188229,-0.2014494094,-0.1497496131,-0.7676514082,6.8646125793,7.3065118790,UMAP
Azerbaijan,AZE,1994,,,,,-0.4154341567,-0.2347793153,-3.7382761566,-1.2692097678,5.5374221802,8.7593441010,UMAP
"Bahamas, The",BHS,1994,,,0.2764034862,-0.4655505967,0.5497299726,-0.2344376798,-0.0284986728,1.0221383012,6.6111249924,7.4904408455,UMAP
Bahrain,BHR,1994,,,-0.1700954421,-0.9170460948,1.1807717574,-0.2339297182,-0.5803509531,,6.7218222618,9.1367101669,UMAP
Bangladesh,BGD,1994,,,-0.7026600491,,-1.0545814624,-0.2293922323,0.0918451441,,5.4586730003,6.4519701004,UMAP
Barbados,BRB,1994,,,-0.1576929424,,,-0.2346208551,-0.2132873742,2.6128693202,6.3388419151,8.1974754333,UMAP
Belarus,BLR,1994,,,,0.5036195138,1.5526938618,-0.2325073844,-2.4393870283,-1.0171267101,4.9721398354,9.3926553726,UMAP
Belgium,BEL,1994,,-0.1187927762,,,0.7234764424,-0.1944796181,-0.0158254915,0.2945744416,5.7785873413,7.6198701859,UMAP
Belize,BLZ,1994,,,-0.4632337614,-0.6285847093,0.0865626492,-0.2348489107,-0.5429759810,0.5475267512,6.7265920639,8.9216079712,UMAP
Benin,BEN,1994,,,-0.8904843402,,-0.2373427432,-0.2347123504,-0.2117258010,,7.2230882645,7.0319638252,UMAP
Bermuda,BMU,1994,,,,,,-0.2346678514,-0.4424064881,,7.1711640358,9.0984926224,UMAP
Bhutan,BTN,1994,,,-0.8794915969,-0.4755633436,-0.0858309635,-0.2349338037,0.2641716273,,4.9100251198,7.2424774170,UMAP
Bolivia,BOL,1994,,,0.1060661613,0.1077358167,-0.5431018405,-0.2339875001,0.2180223052,-0.8467533332,4.2590489388,6.7060289383,UMAP
Bosnia and Herzegovina,BIH,1994,,,,,0.4994627610,-0.2347689529,1.2676387793,,4.8010735512,8.1833381653,UMAP
Botswana,BWA,1994,,,-0.7574545997,-1.0039029190,0.2305571883,-0.2342722648,0.0492723684,2.3034156356,6.2787528038,7.9173064232,UMAP
Brazil,BRA,1994,,25.7675772543,0.5766051880,,-1.1370460070,-0.1480951611,0.4105185909,,3.7839756012,6.8480067253,UMAP
Brunei Darussalam,BRN,1994,,,,,-0.2674640964,-0.2339070366,-0.3785788464,,7.6012377739,9.0498981476,UMAP
Bulgaria,BGR,1994,,,0.0895347892,,0.2805249994,-0.2333709899,-0.2445859417,0.8430724050,7.5230331421,7.2909703255,UMAP
