Year,Indicator,alignment
2017,Credit_to_Private_Sector,0.2095716870
2017,Debt,0.1157737307
2017,Trade,0.4090641079
2017,GDP,0.4211139500
2017,GDP_Growth,0.7493838935
2017,Unemployment,0.2881014265
2018,NPLs,0.0208955344
2018,Inflation,0.1275428158
2018,Credit_to_Private_Sector,0.3963013208
2018,Debt,0.2635677590
2018,Trade,0.4255509295
2018,GDP,0.4352669537
2018,GDP_Growth,1.0207703394
2018,Unemployment,0.1605599543
2019,NPLs,0.1581369858
2019,Inflation,0.0586190528
2019,Credit_to_Private_Sector,0.4896243567
2019,Debt,0.2260665324
2019,Trade,0.3075181463
2019,GDP,0.5427565497
2019,GDP_Growth,0.9258292405
2019,Unemployment,0.2311129907
2020,NPLs,0.1165734280
2020,Inflation,0.3661973544
2020,Credit_to_Private_Sector,0.4591224951
2020,Debt,0.3667270839
2020,Trade,0.5126300620
2020,GDP,0.2612598276
2020,GDP_Growth,0.9266284024
2020,Unemployment,0.1880648227
2021,NPLs,0.1448467603
2021,Inflation,0.2262970665
2021,Credit_to_Private_Sector,0.3301830571
2021,Debt,0.2172831422
2021,Trade,0.2965885344
2021,GDP,0.4555834884
2021,GDP_Growth,0.5164542631
2021,Unemployment,0.2173784275
2022,NPLs,0.2183060788
2022,Inflation,0.1026511795
2022,Credit_to_Private_Sector,0.3222297000
2022,Debt,0.1821867624
2022,Trade,0.4179137878
2022,GDP,0.5525527687
2022,GDP_Growth,0.7363412044
2022,Unemployment,0.0965365899
2023,NPLs,0.3463958320
2023,Inflation,0.1388009213
2023,Credit_to_Private_Sector,0.2786183932
2023,Debt,0.3336496166
2023,Trade,0.2703272343
2023,GDP,0.5663702988
2023,GDP_Growth,0.8757843036
2023,Unemployment,0.1142383101
